[INFO] 14:17:22:185 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : METALS con value : "iridium" y timestamp : 1225327960
[INFO] 14:17:22:202 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : METALS con value : "petrochemicals" y timestamp : 1225343457
[INFO] 14:17:22:216 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : ANIMALS con value : "bullies" y timestamp : 1225321790
[INFO] 14:17:22:229 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : ANIMALS con value : "livestock" y timestamp : 1225331012
[INFO] 14:17:29:280 Memoria/(8189:8191):  Llego select con VALUE : "precious metals"

[INFO] 14:17:30:317 MEMORIA/(8194:8196):  Se realizo insert en FS en tabla : METALS con value : "nickel alloy" y timestamp : 1225348470
[INFO] 14:17:30:330 MEMORIA/(8194:8196):  Se realizo insert en FS en tabla : ANIMALS con value : "warheads" y timestamp : 1225339345
[INFO] 14:17:30:337 MEMORIA/(8194:8196):  Se realizo insert en FS en tabla : ANIMALS con value : "bovine" y timestamp : 1225342404
[INFO] 14:17:30:363 MEMORIA/(8194:8196):  Se realizo insert en FS en tabla : ANIMALS con value : "species" y timestamp : 1225351549
[INFO] 14:17:32:384 Memoria/(8189:8191):  Llego select con VALUE : "nickel alloy"
[ERROR] 14:17:33:464 LFS/(8194:8196):  No se encontro la key : 144
[INFO] 14:17:35:581 Memoria/(8189:8191):  Llego select con VALUE : "primates"

[ERROR] 14:17:36:661 LFS/(8194:8196):  No se encontro la key : 36
[INFO] 14:17:37:677 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : METALS con value : "aluminous" y timestamp : 1225358734
[INFO] 14:17:37:692 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : ANIMALS con value : "pets" y timestamp : 1225349479
[INFO] 14:17:37:712 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : ANIMALS con value : "puppies" y timestamp : 1225352549
[INFO] 14:17:37:716 MEMORIA/(8201:8203):  Se realizo insert en FS en tabla : ANIMALS con value : "heads" y timestamp : 1225355579
[INFO] 14:17:38:720 Memoria/(8189:8191):  Llego select con VALUE : "petrochemicals"

[INFO] 14:17:40:744 Memoria/(8201:8203):  Llego select con VALUE : "precious metals"

[INFO] 14:17:41:849 Memoria/(8189:8191):  Llego select con VALUE : "heads"

[INFO] 14:17:42:896 Memoria/(8194:8196):  Llego select con VALUE : "livestock"

[ERROR] 14:17:43:965 LFS/(8201:8203):  No se encontro la key : 154
[ERROR] 14:17:46:542 LFS/(8189:8191):  No se encontro la key : 16
[INFO] 23:51:19:920 MEMORIA/(3995:3997):  Se realizo create en el FS : ANIMALS con EC 2 5000
[INFO] 23:51:21:32 MEMORIA/(4000:4002):  Se realizo create en el FS : METALS con EC 3 5000
[ERROR] 23:51:24:141 LFS/(4000:4002):  No se encontro la key : 126
[ERROR] 23:51:26:189 LFS/(3995:3997):  No se encontro la key : 65
[ERROR] 23:51:27:269 LFS/(4000:4002):  No se encontro la key : 136
[ERROR] 23:51:33:367 LFS/(4000:4002):  No se encontro la key : 136
[INFO] 23:51:34:392 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "aluminiferous" y timestamp : 1259789412
[INFO] 23:51:34:403 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "ferrous" y timestamp : 1259795565
[INFO] 23:51:34:416 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "tigers" y timestamp : 1259786299
[INFO] 23:51:34:439 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "biological" y timestamp : 1259792539
[ERROR] 23:51:36:496 LFS/(4000:4002):  No se encontro la key : 105
[ERROR] 23:51:37:540 LFS/(4007:4009):  No se encontro la key : 64
[INFO] 23:51:38:576 Memoria/(3995:3997):  Llego select con VALUE : "aluminiferous"

[INFO] 23:51:41:687 Memoria/(3995:3997):  Llego select con VALUE : "ferrous"

[ERROR] 23:51:44:791 LFS/(3995:3997):  No se encontro la key : 16
[INFO] 23:51:46:810 Memoria/(4007:4009):  Llego select con VALUE : "biological"

[ERROR] 23:51:47:902 LFS/(3995:3997):  No se encontro la key : 135
[INFO] 23:51:49:975 Memoria/(4007:4009):  Llego select con VALUE : "tigers"

[ERROR] 23:51:53:83 LFS/(4007:4009):  No se encontro la key : 126
[INFO] 23:51:55:121 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : METALS con value : "warheads" y timestamp : 1259816268
[INFO] 23:51:55:132 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : METALS con value : "dysprosium" y timestamp : 1259806958
[INFO] 23:51:55:142 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : METALS con value : "auriferous" y timestamp : 1259813211
[INFO] 23:51:55:163 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "tortoises" y timestamp : 1259794608
[INFO] 23:51:55:171 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "warheads" y timestamp : 1259816268
[INFO] 23:51:57:201 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "precious metals" y timestamp : 1259815302
[INFO] 23:51:57:213 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "moly" y timestamp : 1259799676
[INFO] 23:51:57:225 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "precious metals" y timestamp : 1259815302
[INFO] 23:51:57:248 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "beasts" y timestamp : 1259818361
[INFO] 23:51:57:261 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "primates" y timestamp : 1259796587
[INFO] 23:51:59:181 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "iridium" y timestamp : 1259804867
[INFO] 23:51:59:192 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "petrochemicals" y timestamp : 1259820431
[INFO] 23:51:59:216 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "bullies" y timestamp : 1259798695
[INFO] 23:51:59:230 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "livestock" y timestamp : 1259807964
[INFO] 23:52:06:281 Memoria/(3995:3997):  Llego select con VALUE : "precious metals"

[ERROR] 23:52:09:398 LFS/(3995:3997):  No se encontro la key : 128
[INFO] 23:52:12:521 Memoria/(3995:3997):  Llego select con VALUE : "primates"

[INFO] 23:52:13:578 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : METALS con value : "nickel alloy" y timestamp : 1259825468
[INFO] 23:52:13:594 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "bovine" y timestamp : 1259819433
[INFO] 23:52:13:616 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "species" y timestamp : 1259834661
[INFO] 23:52:13:618 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "biological" y timestamp : 1259831596
[ERROR] 23:52:13:672 LFS/(4000:4002):  No se encontro la key : 36
[INFO] 23:52:14:689 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "aluminous" y timestamp : 1259835670
[INFO] 23:52:14:703 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "pets" y timestamp : 1259826476
[INFO] 23:52:14:720 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "puppies" y timestamp : 1259829553
[INFO] 23:52:14:734 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "heads" y timestamp : 1259832561
[INFO] 23:52:15:730 Memoria/(3995:3997):  Llego select con VALUE : "petrochemicals"

[INFO] 23:52:17:769 Memoria/(4007:4009):  Llego select con VALUE : "precious metals"

[INFO] 23:52:18:878 Memoria/(3995:3997):  Llego select con VALUE : "heads"

[INFO] 23:52:19:945 Memoria/(4000:4002):  Llego select con VALUE : "livestock"

[ERROR] 23:52:21:41 LFS/(4007:4009):  No se encontro la key : 154
[ERROR] 23:52:22:156 LFS/(3995:3997):  No se encontro la key : 16
[INFO] 23:52:25:221 Memoria/(3995:3997):  Llego select con VALUE : "pets"

[INFO] 23:52:26:278 Memoria/(4000:4002):  Llego select con VALUE : "aluminous"

[INFO] 23:52:31:349 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "bronze" y timestamp : 1259821518
[INFO] 23:52:31:355 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "europium" y timestamp : 1259824462
[INFO] 23:52:31:380 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "industrials" y timestamp : 1259852597
[INFO] 23:52:31:393 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "horses" y timestamp : 1259827499
[INFO] 23:52:31:438 Memoria/(3995:3997):  Llego select con VALUE : "beasts"

[INFO] 23:52:34:529 Memoria/(3995:3997):  Llego select con VALUE : "biological"

[INFO] 23:52:38:587 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "monkeys" y timestamp : 1259853572
[INFO] 23:52:38:601 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "mammals" y timestamp : 1259847467
[INFO] 23:52:38:607 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "monkeys" y timestamp : 1259853572
[INFO] 23:52:38:625 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "housecats" y timestamp : 1259856710
[INFO] 23:52:38:630 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "primates" y timestamp : 1259859801
[INFO] 23:52:39:642 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "bovine" y timestamp : 1259857718
[INFO] 23:52:39:656 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "llamas" y timestamp : 1259838990
[INFO] 23:52:39:680 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "beast" y timestamp : 1259851551
[INFO] 23:52:39:684 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "arseholes" y timestamp : 1259860805
[INFO] 23:52:39:690 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "bovine" y timestamp : 1259857718
[INFO] 23:52:40:663 Memoria/(3995:3997):  Llego select con VALUE : "tigers"

[INFO] 23:52:45:749 Memoria/(4007:4009):  Llego select con VALUE : "aluminous"

[INFO] 23:52:46:860 Memoria/(3995:3997):  Llego select con VALUE : "heads"

[INFO] 23:52:50:910 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "pups" y timestamp : 1259862888
[INFO] 23:52:50:924 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "freaks" y timestamp : 1259865930
[INFO] 23:52:50:948 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "bovine" y timestamp : 1259868965
[INFO] 23:52:50:950 MEMORIA/(4000:4002):  Se realizo insert en FS en tabla : ANIMALS con value : "specimens" y timestamp : 1259872125
[INFO] 23:52:50:996 Memoria/(4000:4002):  Llego select con VALUE : "puppies"

[INFO] 23:52:54:101 Memoria/(4000:4002):  Llego select con VALUE : "biological"

[INFO] 23:52:55:129 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "precious metal" y timestamp : 1259863951
[INFO] 23:52:55:135 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : METALS con value : "earths" y timestamp : 1259873131
[INFO] 23:52:55:154 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "ruminants" y timestamp : 1259866933
[INFO] 23:52:55:172 MEMORIA/(4007:4009):  Se realizo insert en FS en tabla : ANIMALS con value : "reptiles" y timestamp : 1259876274
[INFO] 23:52:59:195 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : METALS con value : "environ" y timestamp : 1259880407
[INFO] 23:52:59:200 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "seals" y timestamp : 1259861864
[INFO] 23:52:59:211 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "humans" y timestamp : 1259874156
[INFO] 23:52:59:223 MEMORIA/(3995:3997):  Se realizo insert en FS en tabla : ANIMALS con value : "warheads" y timestamp : 1259877342
[INFO] 23:53:01:877 Memoria/(4000:4002):  Llego select con VALUE : 
[INFO] 23:56:10:598 MEMORIA/(4185:4187):  Se realizo create en el FS : ANIMALS con EC 2 5000
[INFO] 23:56:11:690 MEMORIA/(4190:4192):  Se realizo create en el FS : METALS con EC 3 5000
[ERROR] 23:56:14:749 LFS/(4190:4192):  No se encontro la key : 126
[ERROR] 23:56:16:791 LFS/(4185:4187):  No se encontro la key : 65
[ERROR] 23:56:17:891 LFS/(4190:4192):  No se encontro la key : 136
[ERROR] 23:56:23:972 LFS/(4190:4192):  No se encontro la key : 136
[INFO] 23:56:25:10 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "aluminiferous" y timestamp : 1260080013
[INFO] 23:56:25:28 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "ferrous" y timestamp : 1260086190
[INFO] 23:56:25:48 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "tigers" y timestamp : 1260076961
[INFO] 23:56:25:57 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "biological" y timestamp : 1260083161
[ERROR] 23:56:27:99 LFS/(4190:4192):  No se encontro la key : 105
[ERROR] 23:56:28:134 LFS/(4197:4199):  No se encontro la key : 64
[INFO] 23:56:29:162 Memoria/(4185:4187):  Llego select con VALUE : "aluminiferous"
[INFO] 23:56:32:269 Memoria/(4185:4187):  Llego select con VALUE : "ferrous"

[ERROR] 23:56:35:396 LFS/(4185:4187):  No se encontro la key : 16
[INFO] 23:56:37:419 Memoria/(4197:4199):  Llego select con VALUE : "biological"

[ERROR] 23:56:38:466 LFS/(4185:4187):  No se encontro la key : 135
[INFO] 23:56:40:554 Memoria/(4197:4199):  Llego select con VALUE : "tigers"

[ERROR] 23:56:43:668 LFS/(4197:4199):  No se encontro la key : 126
[INFO] 23:56:45:753 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : METALS con value : "warheads" y timestamp : 1260106851
[INFO] 23:56:45:769 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : METALS con value : "dysprosium" y timestamp : 1260097538
[INFO] 23:56:45:772 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : METALS con value : "auriferous" y timestamp : 1260103781
[INFO] 23:56:45:793 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "tortoises" y timestamp : 1260085231
[INFO] 23:56:45:800 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "warheads" y timestamp : 1260106851
[INFO] 23:56:47:819 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "precious metals" y timestamp : 1260105893
[INFO] 23:56:47:833 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "moly" y timestamp : 1260090288
[INFO] 23:56:47:855 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "precious metals" y timestamp : 1260105893
[INFO] 23:56:47:865 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : ANIMALS con value : "beasts" y timestamp : 1260108991
[INFO] 23:56:47:872 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : ANIMALS con value : "primates" y timestamp : 1260087211
[INFO] 23:56:49:790 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "iridium" y timestamp : 1260095488
[INFO] 23:56:49:810 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "petrochemicals" y timestamp : 1260111053
[INFO] 23:56:49:832 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "bullies" y timestamp : 1260089313
[INFO] 23:56:49:845 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "livestock" y timestamp : 1260098543
[INFO] 23:56:56:902 Memoria/(4185:4187):  Llego select con VALUE : "precious metals"

[ERROR] 23:57:00:33 LFS/(4185:4187):  No se encontro la key : 128
[INFO] 23:57:03:163 Memoria/(4185:4187):  Llego select con VALUE : "primates"

[INFO] 23:57:04:231 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : METALS con value : "nickel alloy" y timestamp : 1260116093
[INFO] 23:57:04:244 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "bovine" y timestamp : 1260110065
[INFO] 23:57:04:260 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "species" y timestamp : 1260125343
[INFO] 23:57:04:273 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "biological" y timestamp : 1260122188
[ERROR] 23:57:04:301 LFS/(4190:4192):  No se encontro la key : 36
[INFO] 23:57:05:322 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "aluminous" y timestamp : 1260126364
[INFO] 23:57:05:337 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "pets" y timestamp : 1260117101
[INFO] 23:57:05:368 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "puppies" y timestamp : 1260120176
[INFO] 23:57:05:369 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "heads" y timestamp : 1260123195
[INFO] 23:57:06:378 Memoria/(4185:4187):  Llego select con VALUE : "petrochemicals"

[INFO] 23:57:08:407 Memoria/(4197:4199):  Llego select con VALUE : "precious metals"

[ERROR] 23:57:09:518 LFS/(4185:4187):  No se encontro la key : 76
[INFO] 23:57:10:589 Memoria/(4190:4192):  Llego select con VALUE : "livestock"

[ERROR] 23:57:11:686 LFS/(4197:4199):  No se encontro la key : 154
[ERROR] 23:57:12:752 LFS/(4185:4187):  No se encontro la key : 16
[INFO] 23:57:15:877 Memoria/(4185:4187):  Llego select con VALUE : "pets"

[INFO] 23:57:16:926 Memoria/(4190:4192):  Llego select con VALUE : "aluminous"

[INFO] 23:57:21:999 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "bronze" y timestamp : 1260112129
[INFO] 23:57:22:5 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "europium" y timestamp : 1260115072
[INFO] 23:57:22:29 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : METALS con value : "industrials" y timestamp : 1260143219
[INFO] 23:57:22:54 MEMORIA/(4185:4187):  Se realizo insert en FS en tabla : ANIMALS con value : "horses" y timestamp : 1260118126
[INFO] 23:57:22:95 Memoria/(4185:4187):  Llego select con VALUE : "beasts"

[INFO] 23:57:25:185 Memoria/(4185:4187):  Llego select con VALUE : "biological"

[INFO] 23:57:29:242 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "monkeys" y timestamp : 1260144224
[INFO] 23:57:29:250 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "mammals" y timestamp : 1260138060
[INFO] 23:57:29:263 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "monkeys" y timestamp : 1260144224
[INFO] 23:57:29:288 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "housecats" y timestamp : 1260147371
[INFO] 23:57:29:290 MEMORIA/(4190:4192):  Se realizo insert en FS en tabla : ANIMALS con value : "primates" y timestamp : 1260150457
[INFO] 23:57:30:298 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : METALS con value : "bovine" y timestamp : 1260148378
[INFO] 23:57:30:315 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "llamas" y timestamp : 1260129625
[INFO] 23:57:30:336 MEMORIA/(4197:4199):  Se realizo insert en FS en tabla : ANIMALS con value : "beast" y timestamp : 1260142194
